iter	Passed	Remaining
866	28560	4381
867	28591	4347
868	28623	4314
869	28654	4281
870	28689	4249
871	28721	4216
872	28754	4183
873	28788	4150
874	28821	4117
875	28853	4084
876	28885	4051
877	28922	4018
878	28953	3985
879	28986	3952
880	29019	3919
881	29053	3886
882	29084	3853
883	29115	3820
884	29147	3787
885	29179	3754
886	29218	3722
887	29262	3690
888	29306	3659
889	29354	3628
890	29393	3595
891	29430	3563
892	29466	3530
893	29500	3497
894	29532	3464
895	29564	3431
896	29596	3398
897	29626	3365
898	29657	3331
899	29687	3298
900	29717	3265
901	29749	3232
902	29780	3198
903	29810	3165
904	29840	3132
905	29870	3099
906	29900	3065
907	29930	3032
908	29960	2999
909	29991	2966
910	30022	2933
911	30052	2899
912	30083	2866
913	30112	2833
914	30146	2800
915	30177	2767
916	30215	2734
917	30247	2701
918	30280	2668
919	30313	2635
920	30346	2602
921	30378	2569
922	30411	2537
923	30443	2504
924	30476	2471
925	30509	2438
926	30544	2405
927	30580	2372
928	30614	2339
929	30648	2306
930	30680	2273
931	30714	2240
932	30747	2207
933	30781	2175
934	30813	2142
935	30847	2109
936	30884	2076
937	30921	2043
938	30964	2011
939	31003	1978
940	31034	1945
941	31069	1912
942	31103	1880
943	31139	1847
944	31174	1814
945	31215	1781
946	31262	1749
947	31306	1717
948	31348	1684
949	31386	1651
950	31419	1618
951	31451	1585
952	31482	1552
953	31512	1519
954	31544	1486
955	31575	1453
956	31606	1420
957	31636	1386
958	31666	1353
959	31699	1320
960	31729	1287
961	31759	1254
962	31793	1221
963	31824	1188
964	31856	1155
965	31888	1122
966	31921	1089
967	31952	1056
968	31985	1023
969	32015	990
970	32046	957
971	32076	924
972	32108	890
973	32138	857
974	32174	824
975	32216	792
976	32255	759
977	32295	726
978	32328	693
979	32360	660
980	32392	627
981	32425	594
982	32456	561
983	32488	528
984	32518	495
985	32550	462
986	32584	429
987	32616	396
988	32650	363
989	32680	330
990	32711	297
991	32744	264
992	32780	231
993	32812	198
994	32844	165
995	32875	132
996	32908	99
997	32941	66
998	32972	33
999	33012	0
